Date,Open,Close,High,Low,Volume,Supply,Exchange
4-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
5-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
6-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
7-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,"$10,332.00 ","7,023,964",INX Securities
8-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
9-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
10-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
11-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
12-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$344.40 ,"7,023,964",INX Securities
13-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
14-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
15-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
16-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
17-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
18-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
19-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
20-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
21-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
22-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
23-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
24-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
25-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
26-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
27-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
28-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
29-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
30-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
31-Jan-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
1-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
2-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
3-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
4-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
5-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
6-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
7-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
8-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
9-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
10-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
11-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
12-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
13-Feb-22,$11.48 ,$11.48 ,$11.48 ,$11.48 ,$0.00 ,"7,023,964",INX Securities
14-Feb-22,$11.48 ,$10.20 ,$11.48 ,$10.20 ,$918.00 ,"7,023,964",INX Securities
15-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
16-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
17-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
18-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
19-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
20-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
21-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,"$8,955.60 ","7,023,964",INX Securities
22-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
23-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
24-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
25-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
26-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
27-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
28-Feb-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
1-Mar-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
2-Mar-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
3-Mar-22,$10.20 ,$10.20 ,$10.20 ,$10.20 ,$0.00 ,"7,023,964",INX Securities
