Date,Open,Close,High,Low,Volume,MarketCap,Supply,Exchange
"Feb 11, 2022",$13.50,$12.00,$13.50,$12.00,"$7,200.00","$84,287,568.00","7,023,964",Securitize Markets
"Feb 12, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Feb 13, 2022",$12.00,$12.00,$12.00,$12.00,$0.00,"$84,287,568.00","7,023,964",Securitize Markets
"Feb 14, 2022",$12.00,$13.50,$13.50,$12.00,"$20,277.00","$94,823,514.00","7,023,964",Securitize Markets
"Feb 15, 2022",$13.50,$13.74,$13.74,$13.50,$137.40,"$96,509,265.36","7,023,964",Securitize Markets
"Feb 16, 2022",$13.74,$13.74,$13.74,$13.74,$0.00,"$96,509,265.36","7,023,964",Securitize Markets
"Feb 17, 2022",$13.74,$13.69,$13.74,$13.69,$27.38,"$96,158,067.16","7,023,964",Securitize Markets
"Feb 18, 2022",$13.69,$14.00,$14.00,$13.69,$98.00,"$98,335,496.00","7,023,964",Securitize Markets
"Feb 19, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
"Feb 20, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
"Feb 21, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
"Feb 22, 2022",$14.00,$13.99,$14.00,$13.99,$55.96,"$98,265,256.36","7,023,964",Securitize Markets
"Feb 23, 2022",$13.99,$10.00,$13.99,$10.00,$10.00,"$70,239,640.00","7,023,964",Securitize Markets
"Feb 24, 2022",$10.00,$14.00,$14.00,$10.00,"$28,000.00","$98,335,496.00","7,023,964",Securitize Markets
"Feb 25, 2022",$14.00,$14.00,$14.00,$14.00,$56.00,"$98,335,496.00","7,023,964",Securitize Markets
"Feb 26, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
"Feb 27, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
"Feb 28, 2022",$14.00,$14.00,$14.00,$14.00,$14.00,"$98,335,496.00","7,023,964",Securitize Markets
"Mar 1, 2022",$14.00,$14.00,$14.00,$14.00,"$1,470.00","$98,335,496.00","7,023,964",Securitize Markets
"Mar 2, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
"Mar 3, 2022",$14.00,$13.00,$14.00,$13.00,"$2,795.00","$91,311,532.00","7,023,964",Securitize Markets
"Mar 4, 2022",$13.00,$13.00,$13.00,$13.00,$0.00,"$91,311,532.00","7,023,964",Securitize Markets
"Mar 5, 2022",$13.00,$13.00,$13.00,$13.00,$0.00,"$91,311,532.00","7,023,964",Securitize Markets
"Mar 6, 2022",$13.00,$13.00,$13.00,$13.00,$0.00,"$91,311,532.00","7,023,964",Securitize Markets
"Mar 7, 2022",$13.00,$13.00,$13.00,$13.00,$260.00,"$91,311,532.00","7,023,964",Securitize Markets
"Mar 8, 2022",$13.00,$13.00,$13.00,$13.00,$988.00,"$91,311,532.00","7,023,964",Securitize Markets
"Mar 9, 2022",$13.00,$13.00,$13.00,$13.00,$0.00,"$91,311,532.00","7,023,964",Securitize Markets
"Mar 10, 2022",$13.00,$13.90,$13.90,$13.00,"$6,950.00","$97,633,099.60","7,023,964",Securitize Markets
"Mar 11, 2022",$13.90,$13.90,$13.90,$13.90,$0.00,"$97,633,099.60","7,023,964",Securitize Markets
"Mar 12, 2022",$13.90,$14.00,$14.00,$13.90,"$40,572.00","$98,335,496.00","7,023,964",Securitize Markets
"Mar 13, 2022",$14.00,$14.00,$14.00,$14.00,$0.00,"$98,335,496.00","7,023,964",Securitize Markets
